Bradi4g41560.1	GO:0015078;GO:0015991;GO:0033177;GO:0033179
Bradi1g09177.1	GO:0046983
Bradi3g38140.1	GO:0003677;GO:0003700;GO:0006355
Bradi5g24227.1	GO:0016787
Bradi5g25730.1	GO:0016491;GO:0055114
Bradi5g17500.4	GO:0016787
Bradi4g36077.3	GO:0000160
Bradi3g35840.1	GO:0005506;GO:0016705;GO:0020037;GO:0055114
Bradi3g08690.2	GO:0016020;GO:0016021;GO:0022857;GO:0022891;GO:0055085
Bradi4g09430.1	GO:0004553;GO:0005975
Bradi3g09120.1	GO:0004601;GO:0006979;GO:0020037;GO:0055114
Bradi3g16515.1	GO:0003677
Bradi1g09487.1	GO:0004867;GO:0009611
Bradi3g03900.3	GO:0005488
Bradi5g05110.1	GO:0003824;GO:0046983
Bradi1g17430.1	GO:0006662;GO:0015035;GO:0045454
Bradi4g45010.1	GO:0004066;GO:0006529
Bradi1g74350.3	GO:0003700;GO:0005634;GO:0006355;GO:0043565
Bradi2g54090.5	GO:0005506;GO:0016491;GO:0055114
Bradi4g31430.1	GO:0004672;GO:0004713;GO:0005524;GO:0006468
Bradi4g09417.1	GO:0004553;GO:0005975
Bradi1g03510.1	GO:0004867;GO:0005576
Bradi4g16620.5	GO:0003824;GO:0006281;GO:0006284;GO:0051539
Bradi3g02600.4	GO:0004672;GO:0004713;GO:0005509;GO:0005524;GO:0006468
Bradi2g35850.1	GO:0016491;GO:0055114
Bradi4g35650.1	GO:0003677;GO:0003700;GO:0006355
Bradi5g11750.1	GO:0005515;GO:0009507;GO:0009540;GO:0009688;GO:0016020;GO:0055114;GO:0071949
Bradi1g34850.1	GO:0016747
Bradi4g23307.1	GO:0005488
Bradi4g02570.1	GO:0003700;GO:0006355;GO:0043565
Bradi1g19220.2	GO:0009058;GO:0015995;GO:0016851
Bradi4g44460.3	GO:0004672;GO:0004713;GO:0005524;GO:0006468;GO:0007165
Bradi1g37290.4	GO:0004407;GO:0016575
Bradi2g54340.1	GO:0005515
Bradi4g05620.1	GO:0009055;GO:0015035;GO:0045454
Bradi2g61500.4	GO:0010277;GO:0016491;GO:0051537;GO:0055114
Bradi1g46470.1	GO:0009813;GO:0016872;GO:0045430
Bradi1g27867.1	GO:0004553;GO:0005618;GO:0005975;GO:0006073;GO:0010411;GO:0016762;GO:0042546;GO:0048046
Bradi1g29590.2	GO:0009058;GO:0016740
Bradi3g47550.1	GO:0005315;GO:0006817;GO:0016020
Bradi2g02310.1	GO:0005516;GO:0006950
Bradi1g27920.1	GO:0004601;GO:0006979;GO:0020037;GO:0055114
Bradi4g29360.1	GO:0004842;GO:0005488;GO:0005515;GO:0016567
Bradi2g16337.6	GO:0004672;GO:0004713;GO:0005524;GO:0006468
Bradi4g35780.3	GO:0003700;GO:0005634;GO:0006355;GO:0043565
Bradi1g65540.2	GO:0004066;GO:0006529
Bradi2g23797.4	GO:0003824;GO:0006281;GO:0006284;GO:0051539
Bradi4g04662.2	GO:0043531
Bradi3g51610.1	GO:0003677;GO:0003700;GO:0006355
Bradi1g29680.1	GO:0003677
Bradi2g16120.1	GO:0003677
Bradi4g10560.1	GO:0004672;GO:0004713;GO:0005524;GO:0006468
Bradi3g47010.3	GO:0005215;GO:0006810;GO:0016020
Bradi2g58440.1	GO:0006662;GO:0015035;GO:0045454
Bradi3g07385.1	GO:0004553;GO:0005975
Bradi2g16290.1	GO:0009765;GO:0016020
Bradi4g12050.1	GO:0004385;GO:0005515;GO:0006163
Bradi2g53520.1	GO:0003700;GO:0006355;GO:0043565
Bradi3g58341.1	GO:0005515;GO:0008270
Bradi4g13580.1	GO:0005576;GO:0009405
Bradi2g08730.1	GO:0008299
Bradi1g25883.1	GO:0006629
Bradi1g57760.1	GO:0004672;GO:0004713;GO:0005524;GO:0006468;GO:0030246
Bradi5g22820.1	GO:0003824;GO:0050662
Bradi2g00280.1	GO:0003700;GO:0006355;GO:0043565
Bradi4g32830.1	GO:0004672;GO:0004713;GO:0005509;GO:0005515;GO:0005524;GO:0006468;GO:0030247
Bradi4g42540.1	GO:0005506;GO:0016705;GO:0020037;GO:0055114
Bradi3g15040.1	GO:0004097;GO:0008152;GO:0016491;GO:0055114
Bradi5g23027.4	GO:0004672;GO:0004674;GO:0004713;GO:0005524;GO:0006468;GO:0048544
Bradi4g28280.1	GO:0003700;GO:0006355;GO:0043565
Bradi1g67830.1	GO:0006865;GO:0016020
Bradi5g26725.3	GO:0004602;GO:0006979;GO:0016209;GO:0016491;GO:0055114
Bradi2g41270.1	GO:0004252;GO:0006508;GO:0008233
Bradi3g36600.1	GO:0030163
Bradi1g10960.1	GO:0005515
Bradi1g03500.1	GO:0005215;GO:0006810;GO:0016020;GO:0016021;GO:0055085
Bradi1g57680.2	GO:0005524;GO:0005737;GO:0016787;GO:0030163
Bradi2g44180.1	GO:0004497;GO:0005506;GO:0016705;GO:0020037;GO:0055114
Bradi2g49490.14	GO:0005515
Bradi3g46530.1	GO:0003935;GO:0008686;GO:0009231
Bradi2g14970.4	GO:0005978;GO:0008878;GO:0009058;GO:0016779
Bradi3g51757.2	GO:0003677
Bradi1g47180.1	GO:0016747
Bradi4g16083.1	GO:0008168
Bradi1g16480.1	GO:0004672;GO:0004713;GO:0005524;GO:0006468
Bradi4g05650.1	GO:0009055;GO:0015035;GO:0045454
Bradi4g39160.1	GO:0016788
Bradi4g41616.1	GO:0003677;GO:0003700;GO:0006355
Bradi4g10500.2	GO:0004672;GO:0004713;GO:0005524;GO:0006468
Bradi4g29650.1	GO:0016020;GO:0016021;GO:0022891;GO:0055085
Bradi4g30710.1	GO:0016021
Bradi1g65910.6	GO:0000160;GO:0005515
Bradi2g27050.1	GO:0005509
Bradi1g70920.1	GO:0000166;GO:0005388;GO:0005516;GO:0005524;GO:0016020;GO:0016021;GO:0046872;GO:0070588
Bradi2g14790.5	GO:0003677;GO:0003700;GO:0006352;GO:0006355;GO:0016987
Bradi2g54920.4	GO:0003824;GO:0004350;GO:0005737;GO:0006561;GO:0008152;GO:0016491;GO:0055114
Bradi1g26800.2	GO:0006855;GO:0015238;GO:0015297;GO:0016020;GO:0055085
Bradi3g39110.1	GO:0005515;GO:0008270
Bradi1g14700.6	GO:0016491;GO:0055114
Bradi1g14660.1	GO:0003684;GO:0006281
Bradi1g30870.1	GO:0003700;GO:0006355;GO:0043565
Bradi3g17252.2	GO:0004842;GO:0005488;GO:0005515;GO:0016567
Bradi4g32090.1	GO:0003700;GO:0006355;GO:0043565
Bradi2g53580.1	GO:0005576;GO:0009664
Bradi3g44010.1	GO:0031072;GO:0051082
Bradi2g57107.5	GO:0003677;GO:0005515;GO:0005634;GO:0006352;GO:0016570
Bradi2g07577.1	GO:0004497;GO:0005506;GO:0016705;GO:0020037;GO:0055114
Bradi3g37130.4	GO:0003723;GO:0033897
Bradi3g49410.3	GO:0005509;GO:0009523;GO:0009654;GO:0015979;GO:0019898
Bradi2g08790.1	GO:0030145;GO:0045735
Bradi1g57000.1	GO:0005506;GO:0016705;GO:0020037;GO:0055114
Bradi1g49560.1	GO:0003677;GO:0003700;GO:0006355
Bradi2g48890.1	GO:0000166;GO:0005506;GO:0009055
Bradi1g26000.2	GO:0005215;GO:0006810;GO:0016021
Bradi1g60817.3	GO:0003677;GO:0005515;GO:0005634
Bradi4g31440.4	GO:0006508;GO:0008234
Bradi3g16040.1	GO:0003677;GO:0003700;GO:0006352;GO:0006355;GO:0016987
Bradi5g01410.2	GO:0008289
Bradi5g22007.1	GO:0004672;GO:0004713;GO:0005524;GO:0006468
Bradi4g31930.1	GO:0006508;GO:0008236;GO:0016020
Bradi1g15290.1	GO:0009765;GO:0016020
Bradi1g65590.1	GO:0005506;GO:0016491;GO:0055114
